anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2021,50,Mendoza,32,Delitos contra el orden económico y financiero,6,
2021,54,Misiones,1,Homicidios dolosos,39,40
2021,54,Misiones,2,Homicidios dolosos en grado de tentativa,39,42
2021,54,Misiones,3,Muertes en Accidentes Viales,195,215
2021,54,Misiones,4,Homicidios culposos por otros hechos,14,14
2021,54,Misiones,5,Lesiones dolosas,2204,2278
2021,54,Misiones,6,Lesiones culposas en Accidentes Viales,849,1102
2021,54,Misiones,7,Lesiones culposas por otros hechos,102,104
2021,54,Misiones,8,Otros delitos contra las personas,951,965
2021,54,Misiones,9,Delitos contra el honor,7,7
2021,54,Misiones,10,Violaciones,401,411
2021,54,Misiones,11,Otros delitos contra la integridad sexual,898,910
2021,54,Misiones,12,Delitos contra el estado civil,0,
2021,54,Misiones,13,Amenazas,3852,
2021,54,Misiones,14_1,Trata de personas simple,0,0
2021,54,Misiones,14_2,Trata de personas agravado,1,1
2021,54,Misiones,14_3,Otros delitos contra la libertad,102,104
2021,54,Misiones,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),5294,
2021,54,Misiones,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),368,
2021,54,Misiones,17,Robos agravados por el resultado de lesiones y/o muertes ,132,
2021,54,Misiones,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,25,
2021,54,Misiones,19,Hurtos,8552,
2021,54,Misiones,20,Tentativas de hurto,418,
2021,54,Misiones,21,Otros delitos contra la propiedad,3053,
2021,54,Misiones,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,1,
2021,54,Misiones,22_2,Tenencia ilegal de armas de fuego,143,
2021,54,Misiones,22_3,Portación ilegal de armas de fuego,12,
2021,54,Misiones,22_4,Acopio y fabricación ilegal de armas piezas y municiones,1,
2021,54,Misiones,22_5,Entrega y comercialización ilegal de armas de fuego,0,
2021,54,Misiones,22_6,Omisión adulteración y supresión de marcaje,26,
2021,54,Misiones,22_7,Otros delitos contra la seguridad pública,326,
2021,54,Misiones,23,Delitos contra el orden público,101,
2021,54,Misiones,24,Delitos contra la seguridad de la nación,1,
2021,54,Misiones,25,Delitos contra los poderes públicos y el orden constitucional,396,
2021,54,Misiones,26,Delitos contra la administración pública,781,
2021,54,Misiones,27,Delitos contra la fe pública,222,
2021,54,Misiones,28_1,Siembra y producción de estupefacientes,28,
2021,54,Misiones,28_2,Comercialización y entrega de estupefacientes,151,
2021,54,Misiones,28_3,Tenencia o entrega atenuada de estupefacientes,1,
2021,54,Misiones,28_4,Desvío de Importación de estupefacientes,0,
2021,54,Misiones,28_5,Organización y financiación de estupefacientes,1,
2021,54,Misiones,28_6,Tenencia simple de estupefacientes,36,
2021,54,Misiones,28_7,Tenencia simple atenuada para uso personal de estupefacientes,9,
2021,54,Misiones,28_8,Confabulación de estupefacientes,2,
2021,54,Misiones,28_9,Contrabando de estupefacientes,127,
2021,54,Misiones,28_10,Otros delitos previstos en la ley 23.737,245,
2021,54,Misiones,29_1,Ley de residuos peligrosos,0,
2021,54,Misiones,29_2,Ley de fauna,12,
2021,54,Misiones,29_3,Delitos migratorios,308,
2021,54,Misiones,29_4,Obstrucción del código aduanero,61,
2021,54,Misiones,29_5,Contrabando Simple,1455,
2021,54,Misiones,29_6,Contrabando Agravado,40,
2021,54,Misiones,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,0,
2021,54,Misiones,29_8,Otros delitos previstos en leyes especiales,614,
2021,54,Misiones,30,Contravenciones,2234,
2021,54,Misiones,31,Suicidios (consumados),92,92
2021,54,Misiones,32,Delitos contra el orden económico y financiero,26,
2021,58,Neuquén,1,Homicidios dolosos,42,44
2021,58,Neuquén,2,Homicidios dolosos en grado de tentativa,3,4
2021,58,Neuquén,3,Muertes en Accidentes Viales,55,63
2021,58,Neuquén,4,Homicidios culposos por otros hechos,5,7
2021,58,Neuquén,5,Lesiones dolosas,1286,1308
2021,58,Neuquén,6,Lesiones culposas en Accidentes Viales,1352,1635
2021,58,Neuquén,7,Lesiones culposas por otros hechos,60,61
2021,58,Neuquén,8,Otros delitos contra las personas,1206,1236
2021,58,Neuquén,9,Delitos contra el honor,8,8
2021,58,Neuquén,10,Violaciones,53,53
2021,58,Neuquén,11,Otros delitos contra la integridad sexual,361,369
2021,58,Neuquén,12,Delitos contra el estado civil,0,
2021,58,Neuquén,13,Amenazas,1819,
2021,58,Neuquén,14_1,Trata de personas simple,5,7
2021,58,Neuquén,14_2,Trata de personas agravado,0,0
2021,58,Neuquén,14_3,Otros delitos contra la libertad,27,27
2021,58,Neuquén,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),12003,
2021,58,Neuquén,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),831,
2021,58,Neuquén,17,Robos agravados por el resultado de lesiones y/o muertes ,133,
2021,58,Neuquén,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,9,
2021,58,Neuquén,19,Hurtos,6408,
2021,58,Neuquén,20,Tentativas de hurto,551,
2021,58,Neuquén,21,Otros delitos contra la propiedad,3976,
2021,58,Neuquén,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,17,
2021,58,Neuquén,22_2,Tenencia ilegal de armas de fuego,87,
2021,58,Neuquén,22_3,Portación ilegal de armas de fuego,20,
2021,58,Neuquén,22_4,Acopio y fabricación ilegal de armas piezas y municiones,2,
2021,58,Neuquén,22_5,Entrega y comercialización ilegal de armas de fuego,0,
2021,58,Neuquén,22_6,Omisión adulteración y supresión de marcaje,0,
2021,58,Neuquén,22_7,Otros delitos contra la seguridad pública,1434,
2021,58,Neuquén,23,Delitos contra el orden público,148,
2021,58,Neuquén,24,Delitos contra la seguridad de la nación,7,
2021,58,Neuquén,25,Delitos contra los poderes públicos y el orden constitucional,15,
2021,58,Neuquén,26,Delitos contra la administración pública,473,
2021,58,Neuquén,27,Delitos contra la fe pública,22,
2021,58,Neuquén,28_1,Siembra y producción de estupefacientes,134,
2021,58,Neuquén,28_2,Comercialización y entrega de estupefacientes,147,
2021,58,Neuquén,28_3,Tenencia o entrega atenuada de estupefacientes,70,
2021,58,Neuquén,28_4,Desvío de Importación de estupefacientes,3,
2021,58,Neuquén,28_5,Organización y financiación de estupefacientes,30,
2021,58,Neuquén,28_6,Tenencia simple de estupefacientes,242,
2021,58,Neuquén,28_7,Tenencia simple atenuada para uso personal de estupefacientes,187,
2021,58,Neuquén,28_8,Confabulación de estupefacientes,5,
2021,58,Neuquén,28_9,Contrabando de estupefacientes,10,
2021,58,Neuquén,28_10,Otros delitos previstos en la ley 23.737,79,
2021,58,Neuquén,29_1,Ley de residuos peligrosos,2,
2021,58,Neuquén,29_2,Ley de fauna,24,
2021,58,Neuquén,29_3,Delitos migratorios,93,
2021,58,Neuquén,29_4,Obstrucción del código aduanero,0,
2021,58,Neuquén,29_5,Contrabando Simple,7,
2021,58,Neuquén,29_6,Contrabando Agravado,0,
